time,disp_x_max,disp_y_max,disp_z_max,react_y_bot,react_y_top,stress_vm_max,stress_yy_max
54,1.3463876196905e-06,8.5714285714286e-06,1.3463876196905e-06,-1144.4493481905,1144.4493481932,141190636.68296,142621603.2641
55,1.3713207237588e-06,8.7301587301587e-06,1.3713207237588e-06,-1165.6428546385,1165.6428546412,143805278.10301,145262744.06528
56,1.3962538278272e-06,8.8888888888889e-06,1.3962538278272e-06,-1186.8363610864,1186.8363610892,146419919.52307,147903884.86647
57,1.4211869318955e-06,9.047619047619e-06,1.4211869318955e-06,-1208.0298675344,1208.0298675372,149034560.94312,150545025.66766
58,1.4461200359639e-06,9.2063492063492e-06,1.4461200359639e-06,-1229.2233739824,1229.2233739853,151649202.36318,153186166.46884
59,1.4710531400322e-06,9.3650793650794e-06,1.4710531400322e-06,-1250.4168804304,1250.4168804333,154263843.78323,155827307.27003
60,1.4959862441005e-06,9.5238095238095e-06,1.4959862441005e-06,-1271.6103868783,1271.6103868813,156878485.20329,158468448.07122
61,1.5209193481689e-06,9.6825396825397e-06,1.5209193481689e-06,-1292.8038933263,1292.8038933293,159493126.62334,161109588.87241
62,1.5458524522372e-06,9.8412698412698e-06,1.5458524522372e-06,-1313.9973997743,1313.9973997774,162107768.0434,163750729.67359
63,1.5707855563056e-06,1e-05,1.5707855563056e-06,-1335.1909062222,1335.1909062254,164722409.46345,166391870.47478
